area_size,sunlight_need,environment_type,climate_type,fertilizer_frequency,pesticide_frequency,has_pet,has_child,suggested_plant,user_feedback,watering_frequency
Large,Bright indirect light,Indoor,Spring,Monthly,1-2 times a year,Yes,Yes,Maranta (Prayer Plant),0,Monthly
Mini,6+ hours,Indoor,Winter,Monthly,1-2 times a year,Yes,Yes,Epazote,0,Bi-weekly
Mini,6+ hours,Indoor,Summer,Monthly,Never needed,Yes,Yes,Purslane,0,Bi-weekly
Mini,6+ hours,Indoor,Summer,Monthly,Never needed,Yes,Yes,Lemongrass,0,Weekly
Small,6+ hours,Indoor,Summer,Monthly,Monthly,Yes,Yes,Hyacinth,0,Weekly
Large,6+ hours,Indoor,All seasons,Monthly,1-2 times a year,Yes,Yes,Spider Flower,0,Bi-weekly
Small,Bright indirect light,Indoor,All seasons,Monthly,Never needed,No,No,Watermelon Peperomia,0,Weekly
Small,6+ hours,Indoor,All seasons,Monthly,Monthly,Yes,Yes,Cucumbers,0,Monthly
Medium,6+ hours,Indoor,All seasons,Monthly,1-2 times a year,Yes,Yes,Elderberry,0,Bi-weekly
Large,6+ hours,Indoor,Spring,Monthly,1-2 times a year,Yes,Yes,Mulberry,0,Bi-weekly
Medium,6+ hours,Indoor,Winter,Monthly,Monthly,Yes,Yes,Date Palm (Khajoor),0,Bi-weekly
Small,6+ hours,Indoor,Winter,Monthly,Monthly,Yes,Yes,Acalypha,0,Bi-weekly
Small,Bright indirect light,Indoor,All seasons,Monthly,Never needed,No,No,Chinese Money Plant,0,Every 2-3 days
Mini,Bright indirect light,Indoor,All seasons,Never needed,Never needed,No,No,Zebra Plant,0,Every 2-3 days
Medium,6+ hours,Indoor,All seasons,Monthly,Never needed,Yes,Yes,Coneflower,0,Weekly
Mini,6+ hours,Indoor,Winter,Never needed,1-2 times a year,No,No,Camelina,0,Monthly
Large,6+ hours,Indoor,All seasons,Monthly,1-2 times a year,Yes,Yes,Kiwi Vine,0,Bi-weekly
Large,6+ hours,Indoor,Spring,Monthly,Monthly,Yes,Yes,Chamomile,0,Weekly
Large,Bright indirect light,Indoor,All seasons,Monthly,1-2 times a year,Yes,No,Umbrella Tree,0,Daily
Mini,6+ hours,Indoor,All seasons,Monthly,1-2 times a year,Yes,Yes,Luffa,0,Bi-weekly
Medium,6+ hours,Indoor,All seasons,Monthly,Monthly,Yes,Yes,Chayote,0,Bi-weekly
Small,Bright indirect light,Indoor,Spring,Monthly,Never needed,No,No,Maidenhair Fern,0,Daily
Large,6+ hours,Indoor,Summer,Monthly,1-2 times a year,Yes,Yes,Hops Vine,0,Every 2-3 days
Medium,6+ hours,Indoor,Spring,Monthly,Monthly,Yes,Yes,Tarragon,0,Weekly
Large,6+ hours,Indoor,All seasons,Monthly,1-2 times a year,Yes,Yes,Sago Palm,0,Bi-weekly
Large,1-2 hours daily,Indoor,Winter,Monthly,1-2 times a year,Yes,Yes,Coral Bells,0,Weekly
Large,6+ hours,Indoor,Summer,Monthly,Monthly,Yes,Yes,Strawberry Plant,0,Bi-weekly
Mini,6+ hours,Indoor,Spring,Monthly,Monthly,Yes,Yes,Litchi,0,Bi-weekly
Small,Bright indirect light,Indoor,All seasons,1-2 times a year,Never needed,No,No,String of Turtles,0,Daily
Large,6+ hours,Indoor,All seasons,Monthly,Monthly,Yes,Yes,Dianthus,0,Weekly
Large,6+ hours,Indoor,Winter,Never needed,1-2 times a year,No,No,Soursop,0,Monthly
Mini,6+ hours,Indoor,Winter,Monthly,Never needed,Yes,Yes,Echinacea,0,Bi-weekly
Medium,6+ hours,Indoor,Winter,Monthly,Never needed,Yes,Yes,Redwood,0,Monthly
Large,Bright indirect light,Indoor,Spring,Monthly,1-2 times a year,Yes,Yes,Wandering Jew,0,Weekly
Mini,1-2 hours daily,Indoor,All seasons,Never needed,Never needed,No,No,Succulent Mix,0,Daily
Small,Bright indirect light,Indoor,Summer,Monthly,Never needed,Yes,Yes,Orchid Cactus,0,Weekly
Medium,6+ hours,Indoor,Summer,Monthly,Never needed,Yes,Yes,Cactus,0,Bi-weekly
Small,6+ hours,Indoor,Spring,Monthly,Monthly,Yes,Yes,Carrot Plant,0,Bi-weekly
Mini,6+ hours,Indoor,Spring,Monthly,Never needed,Yes,Yes,Grape Vine,0,Bi-weekly
