area_size;sunlight_need;environment_type;climate_type;fertilizer_frequency;pesticide_frequency;has_pet;has_child;suggested_plant;user_feedback;id;watering_frequency
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Carrot;1;92;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Carrot Plant;1;93;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;1-2 times a year;Never needed;No;No;Cast Iron Plant;1;94;Monthly
Mini;1-2 hours daily;Indoor;All seasons;Never needed;Never needed;No;No;Cat Grass;1;95;Every 2-3 days
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Catmint;1;96;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Catnip;1;97;Daily
Large;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Cestrum;0;98;Monthly
Large;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Chamomile;1;99;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Chayote;1;100;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Cherry Blossom;1;101;Monthly
Small;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Chestnut;1;102;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Chili Pepper;0;103;Monthly
Medium;Bright indirect light;Indoor;Spring;Monthly;Monthly;Yes;Yes;Chinese Evergreen;0;104;Weekly
Medium;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Chinese Lantern Plant;1;105;Daily
Small;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Chinese Money Plant;1;106;Every 2-3 days
Medium;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Chives;1;107;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;1-2 times a year;Never needed;No;No;Christmas Cactus;1;108;Every 2-3 days
Medium;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Chrysanthemum;1;109;Daily
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Chrysanthemum (Outdoor);1;110;Monthly
Small;1-2 hours daily;Semi-outdoor;Spring;Monthly;Never needed;No;No;Cilantro;1;111;Bi-weekly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Cineraria;1;112;Monthly
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Clematis;1;113;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Clementine;1;114;Bi-weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Clivia;0;115;Weekly
Medium;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Clove;0;116;Every 2-3 days
Small;6+ hours;Indoor;Summer;Never needed;1-2 times a year;No;No;Clover;1;117;Daily
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Cockscomb (Celosia);0;118;Daily
Medium;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Cocoa Tree;1;119;Bi-weekly
Large;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Coleus;1;120;Monthly
Medium;1-2 hours daily;Indoor;Spring;Monthly;Never needed;Yes;Yes;Coltsfoot;1;121;Bi-weekly
Large;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Columbine;1;122;Weekly
Medium;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Coneflower;1;123;Weekly
Large;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Coral Bells;1;124;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Coreopsis;1;125;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Corn;1;126;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Cornflower;1;127;Monthly
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Cosmos;1;128;Weekly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Cress;1;129;Monthly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Crocus;1;130;Monthly
Medium;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Croton;1;131;Every 2-3 days
Small;6+ hours;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Crown of Thorns;0;132;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Cucumber;0;133;Every 2-3 days
Small;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Cucumbers;1;134;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Currant;0;135;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Cyclamen;0;136;Every 2-3 days
Small;Bright indirect light;Indoor;Winter;Monthly;Never needed;Yes;No;Cyclamen;1;137;Every 2-3 days
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Daffodil;1;138;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Daffodils;1;139;Every 2-3 days
Small;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Dahlia;1;140;Weekly
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Daisy;1;141;Weekly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Daisy Fleabane;0;142;Weekly
Large;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Dandelion;1;143;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Date Palm;1;144;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Date Palm (Khajoor);1;145;Bi-weekly
Small;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Daylily;0;146;Bi-weekly
Small;Bright indirect light;Indoor;Summer;Monthly;Never needed;Yes;Yes;Devil?S Ivy;1;147;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Dianella;1;148;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Dianthus;1;149;Weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Dieffenbachia;1;150;Bi-weekly
Medium;6+ hours;Semi-outdoor;Summer;Monthly;Never needed;No;No;Dill;1;151;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Dogwood Tree;1;152;Every 2-3 days
Medium;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;Yes;No;Dracaena;1;153;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Dragon Fruit;0;154;Bi-weekly
Large;6+ hours;Indoor;Summer;Never needed;Never needed;No;No;Dragonfruit Cactus;0;155;Bi-weekly
Medium;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Dusty Miller;1;156;Bi-weekly
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Echeveria;1;157;Weekly
Small;6+ hours;Indoor;All seasons;Never needed;Never needed;No;No;Echeveria;0;158;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Echinacea;1;159;Bi-weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Eggplant;0;160;Bi-weekly
Medium;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Elderberry;1;161;Bi-weekly
Mini;6+ hours;Indoor;Spring;Never needed;1-2 times a year;No;No;Elderflower;1;162;Monthly
Mini;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Engelmann Spruce;1;163;Daily
Small;Bright indirect light;Indoor;All seasons;Monthly;Monthly;Yes;Yes;English Ivy;1;164;Weekly
Mini;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Epazote;1;165;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Eucalyptus;1;166;Daily
Small;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Euphorbia;0;167;Bi-weekly
Medium;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Fairy Lantern;1;168;Every 2-3 days
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Fennel;1;169;Weekly
Medium;Bright indirect light;Indoor;Summer;Never needed;1-2 times a year;No;No;Fern (Boston Fern);0;170;Every 2-3 days
Medium;Bright indirect light;Indoor;Summer;Monthly;Monthly;Yes;Yes;Fern (Boston);0;171;Daily
Small;Bright indirect light;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Fern (Maidenhair);0;172;Bi-weekly
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Feverfew;1;173;Weekly
Small;Bright indirect light;Indoor;Winter;Monthly;Monthly;Yes;Yes;Ficus Benjamina;0;174;Bi-weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Ficus Microcarpa;1;175;Bi-weekly
Small;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Ficus Tree;0;176;Weekly
Large;Bright indirect light;Indoor;Spring;Monthly;Monthly;No;No;Fiddle Leaf Fig;1;177;Daily
Large;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Fig Tree;0;178;Bi-weekly
Mini;1-2 hours daily;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Foxglove;1;179;Every 2-3 days
Small;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Fritillaria;0;180;Bi-weekly
Large;Bright indirect light;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Fuchsia;1;181;Weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Never needed;Yes;Yes;Galangal;0;182;Monthly
Mini;1-2 hours daily;Indoor;Winter;Never needed;1-2 times a year;No;No;Galax;0;183;Every 2-3 days
Mini;Bright indirect light;Indoor;Spring;Never needed;Monthly;No;No;Gardenia;1;184;Monthly
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Gazania;1;185;Bi-weekly
Medium;6+ hours;Semi-outdoor;Spring;Monthly;1-2 times a year;Yes;No;Geranium;1;186;Daily
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Gerbera Daisy;0;187;Weekly
Medium;Bright indirect light;Semi-outdoor;Summer;Monthly;Never needed;No;No;Ginger;1;188;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Ginkgo;1;189;Daily
Mini;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Globe Thistle;1;190;Bi-weekly
Medium;Can live in shade;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Golden Pothos;1;191;Monthly
Medium;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Goldenrods;1;192;Every 2-3 days
Large;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Goldenseal;0;193;Every 2-3 days
Medium;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Grape Hyacinth;1;194;Every 2-3 days
Mini;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Grape Vine;1;195;Bi-weekly
Large;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Green Bean;1;196;Bi-weekly
Large;6+ hours;Indoor;Winter;Never needed;Monthly;No;No;Guar;1;197;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Guava;0;198;Bi-weekly
Mini;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Gul Mohar (Flame Tree);1;199;Monthly
Small;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Gumwood Tree;1;200;Bi-weekly
Mini;Bright indirect light;Indoor;All seasons;Never needed;Never needed;No;No;Haworthia;1;201;Daily
Small;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Helenium;1;202;Weekly
Medium;6+ hours;Indoor;Spring;Never needed;Monthly;No;No;Heliopsis;0;203;Every 2-3 days
Small;1-2 hours daily;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Heliotrope;1;204;Bi-weekly
Small;6+ hours;Semi-outdoor;All seasons;Never needed;Never needed;No;No;Hen and Chicks;1;205;Every 2-3 days
Small;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Henbane;0;206;Daily
Large;1-2 hours daily;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Heracleum (Cow Parsnip);1;207;Every 2-3 days
Large;6+ hours;Indoor;Summer;Monthly;Never needed;Yes;Yes;Hibiscus;1;208;Monthly
Small;1-2 hours daily;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Holly;1;209;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Hollyhock;1;210;Weekly
Mini;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Hops;0;211;Monthly
Large;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Hops Vine;1;212;Every 2-3 days
Medium;1-2 hours daily;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Hosta;1;213;Weekly
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Hoya (Wax Plant);1;214;Monthly
Small;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Hummingbird Sage;0;215;Bi-weekly
Small;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Hyacinth;1;216;Weekly
Large;6+ hours;Indoor;All seasons;Monthly;Monthly;Yes;Yes;Ice Plant;0;217;Bi-weekly
Mini;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Impatiens;1;218;Every 2-3 days
Mini;6+ hours;Indoor;Summer;Monthly;1-2 times a year;Yes;Yes;Indian Cress;0;219;Monthly
Mini;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Indian Grass;0;220;Bi-weekly
Mini;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Iris;0;221;Weekly
Large;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Ironwood;0;222;Bi-weekly
Small;6+ hours;Indoor;Winter;Never needed;Monthly;No;No;Islander (Agave);1;223;Bi-weekly
Large;Bright indirect light;Indoor;Spring;Monthly;Never needed;Yes;Yes;Ivy;1;224;Every 2-3 days
Medium;6+ hours;Indoor;Spring;Monthly;Never needed;Yes;Yes;Ixia;1;225;Bi-weekly
Large;6+ hours;Indoor;Summer;Monthly;Monthly;Yes;Yes;Jacaranda;1;226;Bi-weekly
Small;6+ hours;Indoor;All seasons;Monthly;Never needed;Yes;Yes;Jackfruit;1;227;Bi-weekly
Small;1-2 hours daily;Indoor;All seasons;1-2 times a year;Never needed;Yes;Yes;Jade Plant;1;228;Monthly
Medium;Bright indirect light;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Jade Pothos;1;229;Every 2-3 days
Medium;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Japanese Anemone;0;230;Weekly
Mini;1-2 hours daily;Indoor;Summer;Monthly;Monthly;Yes;Yes;Japanese Maple;1;231;Monthly
Medium;6+ hours;Semi-outdoor;Spring;Monthly;1-2 times a year;No;No;Jasmine;1;232;Daily
Medium;Bright indirect light;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Jasmine (Indoor);1;233;Every 2-3 days
Small;6+ hours;Indoor;Winter;Monthly;Never needed;Yes;Yes;Jasmine (Outdoor);1;234;Bi-weekly
Small;6+ hours;Indoor;Winter;Monthly;1-2 times a year;Yes;Yes;Jatropha;1;235;Bi-weekly
Medium;6+ hours;Indoor;Winter;Monthly;Monthly;Yes;Yes;Jerusalem Artichoke;1;236;Bi-weekly
Small;Bright indirect light;Indoor;All seasons;1-2 times a year;Never needed;Yes;No;Kalanchoe;1;237;Daily
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Kangaroo Paw Fern;0;238;Daily
Medium;Bright indirect light;Indoor;All seasons;Monthly;Never needed;No;No;Kangaroo Paw Fern;1;239;Daily
Mini;6+ hours;Indoor;Spring;Monthly;Monthly;Yes;Yes;Kikar Tree (Acacia);1;240;Bi-weekly
Medium;6+ hours;Indoor;Spring;Monthly;1-2 times a year;Yes;Yes;Kiwi;1;241;Every 2-3 days
Large;6+ hours;Indoor;All seasons;Monthly;1-2 times a year;Yes;Yes;Kiwi Vine;1;242;Bi-weekly
Small;6+ hours;Indoor;Spring;Never needed;1-2 times a year;No;No;Knautia;1;243;Bi-weekly
Mini;1-2 hours daily;Indoor;Winter;Never needed;Never needed;No;No;Lacandonian;0;244;Monthly
Medium;1-2 hours daily;Indoor;Winter;Monthly;Never needed;Yes;Yes;Lady'S Mantle;1;245;Every 2-3 days
